Date,Hour,DateTime,Temprature,RelativeHumidity,MeanSeaLevelPressure,HighTotalPPT,LowTotalPpt,HighSnowAmt,LowSnowAmt,TotalCloudCover,HighCloudCover,MediumCloudCover,LowCloudCover,SunshineDuration,ShortWaveRadiation,WindSpeedab10,WindDirectionab10,WindSpeedab80,WindDirectionab80,WindSpeedab900mb,WindDirectrionab900mb,WindGust
2019/2/9,0,,7.59,94,1019.1,1.5,3,0,0,100,0,69,100,-999,0,6.57,9.46,8.28,360,6.16,6.71,10.8
2019/2/9,1,,8.02,92,1017.7,0.2,3.5,0,0,100,0,100,100,0,0,8.12,77.2,14.58,57.09,7.75,68.2,13.32
2019/2/9,2,,8.92,84,1016.1,0.3,2.8,0,0,100,0,100,100,0,0,10.18,81.87,26.98,71.32,17.11,75.38,15.84
2019/2/9,3,,8.12,84,1015.9,1.1,2.2,0,0,100,5,100,100,0,0,14.35,72.47,31.35,74.69,24.02,70.75,24.84
2019/2/9,4,,7.24,91,1016.2,1.9,2.5,0,0,100,0,100,100,0,0,10.93,72.76,24.09,80.54,18,78.47,20.52
2019/2/9,5,,7.18,93,1016.3,1.7,2.5,0,0,100,0,100,100,0,0,9.69,74.93,18.16,76.24,14.33,78.41,19.08
2019/2/9,6,,7.2,93,1016.6,1.3,2.8,0,0,100,0,100,78,0,0,9.18,78.69,14.84,75.96,12.78,80.27,20.52
2019/2/9,7,,8.16,88,1017.1,0.2,2.4,0,0,12,0,12,10,0,36.49,10.31,77.91,13.1,74.05,12.92,77.12,23.76
2019/2/9,8,,9.75,83,1017.7,0,2,0,0,100,0,5,100,52.34,270.56,12.77,68.5,15.79,65.77,14.71,68.46,19.08
2019/2/9,9,,9.41,83,1018.7,0.5,1.7,0,0,100,0,100,100,0,218.94,8.4,99.87,11.97,96.91,10.95,99.46,9.36
2019/2/9,10,,9.34,80,1018.6,1,1.6,0,0,100,0,100,100,0,99.68,5.04,180,6.44,153.43,6.12,151.93,5.04
2019/2/9,11,,9.45,75,1018.5,1.1,0.7,0,0,100,0,100,100,0,131.72,2.19,260.54,1.48,165.96,1.14,161.57,4.68
2019/2/9,12,,9.32,73,1018.5,1,1.2,0,0,100,0,100,100,0,129.05,1.02,225,3.32,130.6,3.32,130.6,5.4
2019/2/9,13,,9.57,70,1017.9,0.1,0.7,0,0,100,0,100,100,0,170.88,3.4,147.99,7.13,135,7.39,136.97,5.4
2019/2/9,14,,10.88,65,1016.2,0,0.4,0,0,100,0,100,0,0,349.77,4.07,135,6.7,126.25,6.41,128.16,5.04
2019/2/9,15,,11.41,63,1015.3,0,0.2,0,0,100,0,100,4,0,378.25,3.32,319.4,2.62,344.05,2.55,351.87,7.56
2019/2/9,16,,10.7,68,1016,0,0,0,0,100,0,100,100,0,258.99,13.85,297.9,15.81,300.07,15.19,301.43,15.12
2019/2/9,17,,9.08,67,1016.6,0,0.3,0,0,10,0,0,10,0,63.19,22.46,276.44,32.74,278.22,28,278.13,17.64
2019/2/9,18,,6.77,81,1017.7,0,0,0,0,2,0,0,2,5.71,0,14.06,267.06,26.64,270,18.06,265.43,16.92
2019/2/9,19,,6.77,79,1017.9,0,0,0,0,2,0,0,2,0,0,8.83,258.23,22.46,276.44,10.39,255.96,12.24
2019/2/9,20,,6.83,79,1018.2,0,0,0,0,7,0,0,7,0,0,7.57,272.73,22.18,283.13,8.29,272.49,12.24
2019/2/9,21,,6.7,86,1018.6,0,0,0,0,11,0,0,11,0,0,6.12,298.07,16.28,288.03,6.62,292.38,11.52
2019/2/9,22,,6.3,90,1018.8,0,0,0,0,76,0,0,76,0,0,4.33,318.37,11.11,294.9,4.61,308.66,10.08
2019/2/9,23,,7.14,87,1019.1,0,0,0,0,100,0,0,100,0,0,4.58,315,11.3,292.48,5,300.26,10.08
2019/2/10,0,,7.33,90,1019.1,0,0,0,0,100,0,0,100,0,0,5.12,309.29,11.27,296.57,5.5,301.61,10.08
2019/2/10,1,,7.02,95,1019.2,0,0,0,0,100,0,0,100,0,0,6.49,303.69,10.25,288.43,6.92,297.9,12.6
2019/2/10,2,,6.35,95,1019.2,0,0,0,0,100,0,0,100,0,0,4.9,306.03,7.59,275.44,5.01,291.04,9
2019/2/10,3,,5.86,95,1019.2,0,0,0,0,100,0,0,100,0,0,4.2,300.96,5.86,259.38,4.02,280.3,8.64
2019/2/10,4,,5.74,95,1019.6,0,0,0,0,100,0,0,100,0,0,3.32,319.4,3.4,237.99,1.94,291.8,5.76
2019/2/10,5,,5.17,95,1020.6,0,0,0,0,100,0,0,100,0,0,1.44,360,2.97,194.04,1.14,161.57,4.68
2019/2/10,6,,4.97,95,1021.2,0,0,0,0,100,0,0,100,0,0,1.84,78.69,4.21,160.02,4.84,131.99,6.84
2019/2/10,7,,6.24,91,1020.9,0,0,0,0,0,0,0,0,0,80.99,1.8,90,5.62,140.19,5.9,127.57,5.4
2019/2/10,8,,10.58,65,1019.6,0,0,0,0,0,0,0,0,60,303.49,1.48,75.96,4.45,104.04,5.51,101.31,1.8
2019/2/10,9,,14.26,41,1019.1,0,0,0,0,0,0,0,0,60,499.29,0.51,45,3.24,90,3.6,90,2.16
2019/2/10,10,,16.75,30,1018.2,0,0,0,0,0,0,0,0,60,653.26,1.84,281.31,0.72,360,1.14,341.57,4.68
2019/2/10,11,,18.47,27,1017.5,0,0,0,0,0,0,0,0,60,751.16,3.42,288.43,3.32,319.4,3.83,318.81,7.92
2019/2/10,12,,19.44,27,1016.9,0,0,0,0,0,0,0,0,60,784.98,5.82,291.8,6.92,308.66,7.42,309.09,9.36
2019/2/10,13,,19.65,29,1016.5,0,0,0,0,0,0,0,0,60,753.83,8.85,296.57,11.38,304.7,11.59,306.16,12.24
2019/2/10,14,,19.1,33,1016.1,0,0,0,0,0,0,0,0,60,660.38,11.27,296.57,15,300.26,15,300.26,12.6
2019/2/10,15,,17.96,39,1016,0,0,0,0,1.2,4,0,0,60,517.98,12.72,295.11,16.6,294.34,16.6,294.34,10.8
2019/2/10,16,,16.29,46,1017,0,0,0,0,0,0,0,0,59.23,333.75,13.05,294.44,15.94,288.43,16.06,289.65,11.16
2019/2/10,17,,11.83,54,1019.1,0,0,0,0,0,0,0,0,60,113.03,9.18,295.56,13.36,284.04,10.59,279.78,9.72
2019/2/10,18,,10.56,61,1020,0,0,0,0,100,100,100,0,7.13,0,6.76,295.2,9.35,285.64,4.8,257.01,8.64
2019/2/10,19,,10.01,65,1020.5,0,0,0,0,30,100,12,0,0,0,3.08,290.56,2.9,277.13,2.52,180,4.68
2019/2/10,20,,9.44,70,1020.8,0,0,0,0,48,100,48,0,0,0,0.51,315,0.8,116.57,3.32,130.6,2.16
2019/2/10,21,,9.23,75,1020.9,0,0,0,0,53,100,53,0,0,0,0.72,90,2.74,113.2,3.88,111.8,3.24
2019/2/10,22,,9.31,78,1020.6,0,0,0,0,39,100,39,0,0,0,1.8,90,3.32,102.53,4.32,90,4.68
